ionIdx,ionMz,average intensity,mz difference,id,score,formula,ion,name
74,123.0448765,5240.976649,0.000272969,HMDB01398,100,C7H8O2,-H(+),Guaiacol
74,123.0448765,5240.976649,0.000272969,HMDB11724,100,C7H8O2,-H(+),4-Hydroxybenzyl alcohol
75,123.0559972,2622.765732,0.000385642,HMDB04181,100,C6H8N2O,-H(+),Methylimidazole acetaldehyde
76,124.0070892,739569.0186,0.000294839,HMDB00251,100,C2H7NO3S,-H(+),Taurine
77,124.9906751,2691.068208,0.000724607,HMDB03903,100,C2H6O4S,-H(+),2-Hydroxyethanesulfonate
78,125.0011058,3102.070005,-0.000190501,HMDB12228,100,C2H7O4P,-H(+),Ethylphosphate
79,125.0350422,9386.711442,0.000605226,HMDB00262,100,C5H6N2O2,-H(+),Thymine
79,125.0350422,9386.711442,0.000605226,HMDB02024,100,C5H6N2O2,-H(+),Imidazoleacetic acid
80,125.0463007,2734.553402,0.000580084,HMDB02128,100,C4H6N4O,-H(+),"2,4-Diamino-6-hydroxypyrimidine"
80,125.0463007,2734.553402,0.000580084,HMDB03192,100,C4H6N4O,-H(+),5-Aminoimidazole-4-carboxamide
81,126.0559767,2935.000735,7.1876E-05,HMDB01084,100,C6H9NO2,-H(+),D-1-Piperideine-2-carboxylic acid
81,126.0559767,2935.000735,7.1876E-05,HMDB12130,100,C6H9NO2,-H(+),"(S)-2,3,4,5-Tetrahydropiperidine-2-carboxylate"
82,127.0511642,57002.07133,0.00013327,HMDB00079,100,C5H8N2O2,-H(+),Dihydrothymine
83,128.0350488,411392.5095,0.000264304,HMDB00267,100,C5H7NO3,-H(+),Pyroglutamic acid
83,128.0350488,411392.5095,0.000264304,HMDB00805,100,C5H7NO3,-H(+),Pyrrolidonecarboxylic acid
83,128.0350488,411392.5095,0.000264304,HMDB01369,100,C5H7NO3,-H(+),Pyrroline hydroxycarboxylic acid
83,128.0350488,411392.5095,0.000264304,HMDB01843,100,C5H7NO3,-H(+),N-Acryloylglycine
83,128.0350488,411392.5095,0.000264304,HMDB02234,100,C5H7NO3,-H(+),1-Pyrroline-4-hydroxy-2-carboxylate
84,129.0190773,25467.63274,0.000251412,HMDB00620,100,C5H6O4,-H(+),Glutaconic acid
84,129.0190773,25467.63274,0.000251412,HMDB00634,100,C5H6O4,-H(+),Citraconic acid
84,129.0190773,25467.63274,0.000251412,HMDB00749,100,C5H6O4,-H(+),Mesaconic acid
84,129.0190773,25467.63274,0.000251412,HMDB02092,100,C5H6O4,-H(+),Itaconic acid
84,129.0190773,25467.63274,0.000251412,HMDB13233,100,C5H6O4,-H(+),Gamma-delta-Dioxovaleric acid
85,129.0553971,15766.54085,0.000317073,HMDB00408,100,C6H10O3,-H(+),2-Methyl-3-ketovaleric acid
85,129.0553971,15766.54085,0.000317073,HMDB00491,100,C6H10O3,-H(+),3-Methyl-2-oxovaleric acid
85,129.0553971,15766.54085,0.000317073,HMDB00695,100,C6H10O3,-H(+),Ketoleucine
85,129.0553971,15766.54085,0.000317073,HMDB01864,100,C6H10O3,-H(+),2-Ketohexanoic acid
85,129.0553971,15766.54085,0.000317073,HMDB06024,100,C6H10O3,-H(+),Mevalonolactone
85,129.0553971,15766.54085,0.000317073,HMDB10717,100,C6H10O3,-H(+),3-Oxohexanoic acid
85,129.0553971,15766.54085,0.000317073,HMDB12882,100,C6H10O3,-H(+),Adipate semialdehyde
86,129.0918541,12702.14311,0.000245604,HMDB00666,100,C7H14O2,-H(+),Heptanoic acid
87,129.1033278,2059.672984,5.24129E-06,HMDB02064,100,C6H14N2O,-H(+),N-Acetylputrescine
88,130.0507178,124168.3313,0.000245315,HMDB00725,100,C5H9NO3,-H(+),Hydroxyproline
88,130.0507178,124168.3313,0.000245315,HMDB00766,100,C5H9NO3,-H(+),N-Acetyl-L-alanine
88,130.0507178,124168.3313,0.000245315,HMDB00783,100,C5H9NO3,-H(+),Propionylglycine
88,130.0507178,124168.3313,0.000245315,HMDB01149,100,C5H9NO3,-H(+),5-Aminolevulinic acid
88,130.0507178,124168.3313,0.000245315,HMDB02104,100,C5H9NO3,-H(+),L-Glutamic-gamma-semialdehyde
88,130.0507178,124168.3313,0.000245315,HMDB02113,100,C5H9NO3,-H(+),3-Hydroxy-L-proline
88,130.0507178,124168.3313,0.000245315,HMDB06055,100,C5H9NO3,-H(+),4-Hydroxy-L-proline
88,130.0507178,124168.3313,0.000245315,HMDB06272,100,C5H9NO3,-H(+),5-Amino-2-oxopentanoic acid
