"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"DG(14:0/20:3(8Z,11Z,14Z)/0:0)","DG(14:0/20:3(8Z,11Z,14Z)/0:0)","HMDB0007024","53477959",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"DG(14:1(9Z)/20:2(11Z,14Z)/0:0)","DG(14:1(9Z)/20:2(11Z,14Z)/0:0)","HMDB0007051","53477986",NA,"CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCC","1"
"DG(16:0/18:3(6Z,9Z,12Z)/0:0)","DG(16:0/18:3(6Z,9Z,12Z)/0:0)","HMDB0007104","14275390",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"DG(16:0/18:3(9Z,12Z,15Z)/0:0)","DG(16:0/18:3(9Z,12Z,15Z)/0:0)","HMDB0007105","9543700",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"DG(16:1(9Z)/18:2(9Z,12Z)/0:0)","DG(16:1(9Z)/18:2(9Z,12Z)/0:0)","HMDB0007132","9543699","C00165","CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"DG(18:2(9Z,12Z)/16:1(9Z)/0:0)","DG(18:2(9Z,12Z)/16:1(9Z)/0:0)","HMDB0007244","53478102",NA,"CCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"DG(18:3(6Z,9Z,12Z)/16:0/0:0)","DG(18:3(6Z,9Z,12Z)/16:0/0:0)","HMDB0007272","53478115",NA,"CCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"DG(18:3(9Z,12Z,15Z)/16:0/0:0)","DG(18:3(9Z,12Z,15Z)/16:0/0:0)","HMDB0007301","53478143",NA,"CCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"DG(20:2(11Z,14Z)/14:1(9Z)/0:0)","DG(20:2(11Z,14Z)/14:1(9Z)/0:0)","HMDB0007415","53478220",NA,"CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCC","1"
"DG(20:3(5Z,8Z,11Z)/14:0/0:0)","DG(20:3(5Z,8Z,11Z)/14:0/0:0)","HMDB0007443","53478238",NA,"CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC","1"
"DG(20:3(8Z,11Z,14Z)/14:0/0:0)","DG(20:3(8Z,11Z,14Z)/14:0/0:0)","HMDB0007472","53478267",NA,"CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"LysoPE(0:0/16:0)","LysoPE(0:0/16:0)","HMDB0011473","53480922",NA,"CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN","1"
"LysoPE(16:0/0:0)","LysoPE(16:0/0:0)","HMDB0011503","9547069",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O","1"
"DG(14:0/20:1(11Z)/0:0)","DG(14:0/20:1(11Z)/0:0)","HMDB0007021","53477956",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"DG(14:1(9Z)/20:0/0:0)","DG(14:1(9Z)/20:0/0:0)","HMDB0007049","53477984",NA,"CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCC","1"
"DG(16:0/18:1(11Z)/0:0)","DG(16:0/18:1(11Z)/0:0)","HMDB0007101","9543972","C00165","CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCC/C=C\CCCCCC","1"
"DG(16:0/18:1(9Z)/0:0)","DG(16:0/18:1(9Z)/0:0)","HMDB0007102","5282283","C13861","CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"DG(16:1(9Z)/18:0/0:0)","DG(16:1(9Z)/18:0/0:0)","HMDB0007129","9543691","C00165","CCCCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCCCC","1"
"DG(18:0/16:1(9Z)/0:0)","DG(18:0/16:1(9Z)/0:0)","HMDB0007157","53478048",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCC","1"
